9.53,3.58,43.3,527.95,0,0
10.77,4.35,44.46,529.35,0,0
10.54,4.05,45.85,531.04,0.01,0.03
11.65,4.74,47.11,532.73,0,0
17.31,7.7,48.3,534.34,0,0.02
21.47,11.47,49.5,535.94,0.03,2.78
16.95,7.75,50.9,537.8,0.01,0.12
8.01,3.15,46.13,531.53,0.01,0.1
6.54,2.21,45.57,531.17,0,0
4.71,1.3,44.28,528.32,0,0.08
5.69,1.64,43.86,528.7,0,0
8.79,2.87,44.85,529.96,0.01,0.05
9.57,3.11,45.88,530.79,0,0
11.38,3.92,46.99,532.1,0.02,0.33
15.03,6.06,48.22,533.72,0,0
15.46,6.2,49.81,535.58,0.01,0.25
17.4,7.12,51.37,537.58,0.01,0.06
14.83,5.63,52.8,539.53,0,0
14.21,5.26,54.2,541.51,0.01,0.03
14.33,5.29,55.38,543.23,0.01,0.66
13.65,4.76,55.81,543.24,0.03,0.37
12.98,4.32,56.65,544.34,0,0
11.75,3.66,57.33,545.57,0.01,0.16
13.42,4.48,57.41,546.31,0,0
17.07,6.47,58.14,547.34,0,0
14.29,4.76,59.66,549.48,0.01,0.04
15.63,5.39,60.09,550.05,0.01,0.33
10.68,3.34,58.48,544.91,0.01,0.07
12.15,3.96,59.85,546.83,0.02,1.62
17.6,6.46,61.13,548.83,0.03,0.54
19.35,7.55,63.02,551.44,0,0
26.91,12.36,64.42,552.98,0,0
28.26,14,63.81,551.3,0.02,0.09
15.74,5.61,65.04,552.64,0.01,0.28
16.3,5.95,66.08,553.82,0.04,0.57
21.02,8.52,67,554.8,0.02,5.93
18.41,7.04,67.86,555.7,0.06,1.63
20.53,8.24,68.69,556.57,0.04,1.49
16.94,6.04,69.65,557.56,0.04,0.99
18.71,6.88,70.81,558.83,0.03,0.24
19.01,7,72.22,560.43,0.02,1.63
9.93,3.91,61.54,538.56,0.13,1.74
4.36,1.81,42.05,477.75,0,0
0.77,0.35,25.78,418,0.01,0.09
1.34,0.59,24.48,415.92,0.01,0.13
4.18,1.77,25.52,416.87,0,0.02
8.8,3.89,24.97,414.45,0,0
5.93,2.51,26.12,415.74,0,0
10.72,5.02,27.51,417.07,0.05,0.38
10.87,5.21,28.44,417.98,0.01,0.22
10.04,4.94,29.15,419.1,0.04,0.41
11.9,5.61,30.86,420.87,0.01,0.93
15.87,8.21,32.33,422.45,0.01,0.09
12.58,5.69,33.72,423.96,0,0
7.95,3.3,33.51,424.72,0.02,0.3
2.8,1.48,25.02,398.49,0.02,0.18
3.44,1.9,22.79,388.51,0,0.08
4.12,2,21.37,384.75,0.01,0.06
4.55,2.28,22.15,385.54,0,0
5.35,2.65,22.76,386.34,0.05,0.36
7.8,4.15,24.39,387.69,0,0
9.44,5.04,25.42,388.82,0.01,0.03
8.14,3.96,26.05,389.65,0.05,1
9.74,4.69,27.7,391.15,0.02,0.73
13.59,6.98,29.6,392.89,0.1,1.97
16.05,8.56,31.64,394.7,0.06,6.41
14.99,7.31,33.97,396.76,0.04,0.41
18.99,9.95,36.34,398.58,0,0
15.62,7.01,38.39,400.38,0.04,0.87
16.79,7.45,40.6,402.61,0.02,0.94
17.1,7.34,42.95,405,0.08,4.87
33.76,20.65,45.23,406.54,0.03,2.78
18.35,7.83,44.77,404.17,0,0
8.94,3.31,35.54,383.82,0.01,0.03
2.13,0.72,27.05,359.54,0,0
5.6,2.7,25.61,357.53,0.01,0.16
14.83,8.57,27.3,359.01,0.01,0.27
14.06,7.46,29.4,360.74,0.02,0.22
12.86,6.3,30.35,361.5,0.01,0.1
13.52,6.42,32.38,363.48,0.01,0.11
17.17,8.34,34.59,365.5,0,0.03
14.47,6.9,35.87,366.68,0,0
13.46,5.75,37.6,368.49,0.06,0.63
16.85,7.37,39.9,370.63,0,0
22.82,12.32,38.23,362.33,0.03,0.33
24.41,13.72,39.86,363.94,0.01,0.09
24.2,13.23,41.76,365.68,0.01,0.31
20,9.25,44.18,367.91,0.03,1.59
21.04,9.59,47.08,370.67,0.03,3.09
25.71,12.34,49.88,373.44,0.03,0.4
36.93,22.5,52.16,375.74,0,0
23.49,11.53,50.16,374.06,0.02,0.5
14.91,5.38,50.47,375.02,0.01,0.84
19.22,8.12,50.56,374.93,0,0.06
15.65,5.82,51.03,375.63,0.01,0.07
14.29,4.93,52.36,377.39,0,0
17.17,6.4,54.92,380.37,0.05,0.94
23.72,9.89,58.55,383.95,0.01,1.29
24.9,10.28,62.37,387.67,0.07,0.87
28.4,12.42,65.83,391.25,0,0
28.74,12.47,68.81,394.68,0.04,0.56
37.06,19.91,69.32,393.41,0,0
23.63,10.82,62.99,385.49,0,0
9.41,3.42,49.79,365.52,0,0
4.14,1.36,38.13,347.33,0,0.04
8.85,3.16,39.56,348.71,0,0.04
11.26,4.83,38.53,345.33,0,0
9.87,3.91,39.29,346.01,0.02,0.26
11.27,4.37,42.32,349.06,0.01,0.04
17.04,7.29,45.42,352.22,0.01,0.15
16.74,7.66,43.48,347.7,0,0
11.6,4.79,42.65,346.86,0,0
9.81,3.46,43.37,344.29,0,0.07
19.48,9.17,44.81,344.12,0,0
23.69,12.27,47.09,346.58,0,0
15.49,5.97,49.2,348.82,0,0
22,9.86,51.85,351.52,0.01,0.04
23.68,11.7,52.27,351.2,0,0
18.13,7.13,53.56,352.5,0,0.07
13.94,4.67,55.79,355.15,0.01,0.2
15.97,5.64,58.8,359.47,0,0.09
25.99,12.59,59.42,360.32,0,0.01
13.72,5.03,53.79,352.62,0,0
11.7,3.83,53.25,352.07,0,0
12.04,4.05,56.27,356.32,0,0
18.43,7.3,59.13,360.48,0.01,0.27
14.13,5.62,56.81,357.1,0.01,0.14
19.02,8.91,54.76,352.25,0,0
14.04,5.25,54.99,350.36,0.01,0.06
11.94,4.14,57.71,354.42,0,0
18.78,7.6,61.5,359.13,0.01,0.08
25.05,11.37,65.87,364.27,0,0
25.16,11.01,70.3,369.52,0.02,0.81
27,12.52,73.84,374.59,0.01,0.32
25.09,10.71,77.39,379.51,0.01,0.24
29.81,12.88,81.68,384.73,0.02,0.38
32.84,14.97,85.35,389.71,0,0.09
32.76,14.06,88.95,394.52,0.03,0.47
28.86,11.07,92.93,399.65,0.02,1.39
29.52,11.09,97.59,405.29,0.02,0.55
31.49,11.82,102.59,411.27,0.02,1.38
35.79,14.19,107.59,417.34,0.03,0.68
37.83,15.12,112.47,423.42,0.02,1.98
40.09,16.34,116.67,429.19,0.01,0.22
44.74,20.15,120.41,434.65,0.01,0.17
36.54,13.65,124.48,440.32,0.01,0.93
37.02,13.55,129.44,446.68,0.01,0.19
46.94,20.01,134.71,453.29,0,0.17
51.5,23.31,139.35,459.59,0.02,0.88
51.8,24.18,142.22,464.83,0.02,0.89
42.22,16.19,146.44,470.76,0.01,0.37
37.53,13.09,151.02,477.68,0.08,12.64
42.87,16.1,155.76,484.72,0,0.44
41.26,14.94,160.45,491.72,0.01,0.13
40.94,14.52,164.92,498.6,0,0
38.55,13.06,169.31,505.39,0.02,0.57
40.75,14.28,173.65,512.24,0.02,1.06
40.16,13.81,178.08,519.21,0.02,0.97
46.19,17.49,182.5,526.21,0.02,4.28
55.28,25.14,186.72,532.97,0.04,1.97
47,18.23,190.58,539.47,0,0
43.11,15.58,194.33,545.88,0.02,1.39
40.63,14.12,197.9,552.22,0.07,2.75
41.37,14.14,201.75,558.7,0.04,2.46
45.31,16.32,205.36,565.52,0.04,0.94
45.71,16.69,210.06,572.51,0,0
45.34,16.11,214.9,579.65,0.03,2.28
43.47,14.81,219.85,586.88,0.02,1.36
55.04,22.93,224.27,593.8,0.01,0.57
56.4,24.63,227.84,600.24,0.1,12.36
44.81,16.41,228.69,606.15,0,0.11
45.22,16.59,232.3,612.32,0.02,0.31
40.35,13.13,236.01,618.45,0.01,0.33
46.04,17.31,236.56,624.36,0.02,0.63
38.01,11.95,236.56,629.83,0.01,0.72
40.08,13,241.47,636.63,0,0.05
42.7,14.01,247.06,643.91,0.01,2.03
45.55,15.52,252.84,651.39,0.01,0.52
48.63,17.33,258.58,658.89,0.04,6.44
67.65,31.17,264.14,666.25,0.06,8.47
